order_details_id,quantity,order_id,date,time,name,category,pizza_id,size,price
1,1,1,2015-01-01,11:38:36,"The Hawaiian Pizza",Classic,hawaiian_m,M,13.25
6,1,2,2015-01-01,11:57:40,"The Thai Chicken Pizza",Chicken,thai_ckn_l,L,20.75
5,1,2,2015-01-01,11:57:40,"The Mexicana Pizza",Veggie,mexicana_m,M,16
4,1,2,2015-01-01,11:57:40,"The Italian Supreme Pizza",Supreme,ital_supr_l,L,20.75
3,1,2,2015-01-01,11:57:40,"The Five Cheese Pizza",Veggie,five_cheese_l,L,18.5
2,1,2,2015-01-01,11:57:40,"The Classic Deluxe Pizza",Classic,classic_dlx_m,M,16
8,1,3,2015-01-01,12:12:28,"The Prosciutto and Arugula Pizza",Supreme,prsc_argla_l,L,20.75
7,1,3,2015-01-01,12:12:28,"The Italian Supreme Pizza",Supreme,ital_supr_m,M,16.5
9,1,4,2015-01-01,12:16:31,"The Italian Supreme Pizza",Supreme,ital_supr_m,M,16.5
10,1,5,2015-01-01,12:21:30,"The Italian Supreme Pizza",Supreme,ital_supr_m,M,16.5
12,1,6,2015-01-01,12:29:36,"The Greek Pizza",Classic,the_greek_s,S,12
11,1,6,2015-01-01,12:29:36,"The Barbecue Chicken Pizza",Chicken,bbq_ckn_s,S,12.75
13,1,7,2015-01-01,12:50:37,"The Spinach Supreme Pizza",Supreme,spinach_supr_s,S,12.5
14,1,8,2015-01-01,12:51:37,"The Spinach Supreme Pizza",Supreme,spinach_supr_s,S,12.5
23,1,9,2015-01-01,12:52:01,"The Vegetables + Vegetables Pizza",Veggie,veggie_veg_s,S,12
22,1,9,2015-01-01,12:52:01,"The Spinach Pesto Pizza",Veggie,spin_pesto_l,L,20.75
21,1,9,2015-01-01,12:52:01,"The Spicy Italian Pizza",Supreme,spicy_ital_l,L,20.75
20,1,9,2015-01-01,12:52:01,"The Mexicana Pizza",Veggie,mexicana_s,S,12
19,1,9,2015-01-01,12:52:01,"The Italian Supreme Pizza",Supreme,ital_supr_s,S,12.5
18,1,9,2015-01-01,12:52:01,"The Italian Supreme Pizza",Supreme,ital_supr_l,L,20.75
17,1,9,2015-01-01,12:52:01,"The Italian Capocollo Pizza",Classic,ital_cpcllo_l,L,20.5
16,1,9,2015-01-01,12:52:01,"The Green Garden Pizza",Veggie,green_garden_s,S,12
15,1,9,2015-01-01,12:52:01,"The Classic Deluxe Pizza",Classic,classic_dlx_s,S,12
25,1,10,2015-01-01,13:00:15,"The Southwest Chicken Pizza",Chicken,southw_ckn_l,L,20.75
24,1,10,2015-01-01,13:00:15,"The Mexicana Pizza",Veggie,mexicana_l,L,20.25
29,1,11,2015-01-01,13:02:59,"The Pepperoni Pizza",Classic,pepperoni_l,L,15.25
28,1,11,2015-01-01,13:02:59,"The California Chicken Pizza",Chicken,cali_ckn_m,M,16.75
27,1,11,2015-01-01,13:02:59,"The California Chicken Pizza",Chicken,cali_ckn_l,L,20.75
26,1,11,2015-01-01,13:02:59,"The Barbecue Chicken Pizza",Chicken,bbq_ckn_l,L,20.75
33,1,12,2015-01-01,13:04:41,"The Italian Supreme Pizza",Supreme,ital_supr_m,M,16.5
32,1,12,2015-01-01,13:04:41,"The Chicken Pesto Pizza",Chicken,ckn_pesto_l,L,20.75
31,1,12,2015-01-01,13:04:41,"The California Chicken Pizza",Chicken,cali_ckn_s,S,12.75
30,1,12,2015-01-01,13:04:41,"The California Chicken Pizza",Chicken,cali_ckn_l,L,20.75
34,1,13,2015-01-01,13:11:55,"The Mexicana Pizza",Veggie,mexicana_l,L,20.25
35,1,14,2015-01-01,13:14:19,"The Greek Pizza",Classic,the_greek_s,S,12
39,1,15,2015-01-01,13:33:00,"The Greek Pizza",Classic,the_greek_s,S,12
38,1,15,2015-01-01,13:33:00,"The Soppressata Pizza",Supreme,soppressata_l,L,20.75
37,1,15,2015-01-01,13:33:00,"The Five Cheese Pizza",Veggie,five_cheese_l,L,18.5
36,1,15,2015-01-01,13:33:00,"The Big Meat Pizza",Classic,big_meat_s,S,12
42,1,16,2015-01-01,13:34:07,"The Thai Chicken Pizza",Chicken,thai_ckn_l,L,20.75
41,1,16,2015-01-01,13:34:07,"The Napolitana Pizza",Classic,napolitana_s,S,12
40,1,16,2015-01-01,13:34:07,"The Four Cheese Pizza",Veggie,four_cheese_l,L,17.95
52,1,17,2015-01-01,13:53:00,"The Spinach and Feta Pizza",Veggie,spinach_fet_l,L,20.25
51,1,17,2015-01-01,13:53:00,"The Pepper Salami Pizza",Supreme,peppr_salami_s,S,12.5
